Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,20p,C1554
C10,0402,1,2.2u,C12530
C11,0402,1,100n,C1525
C12,0402,1,10u,C15525
C13,0402,1,100n,C1525
C14,0603,1,22u,C59461
C15,0402,1,100n,C1525
C16,0603,1,22u,C59461
C2,0402,1,20p,C1554
C3,0402,1,100n,C1525
C4,0402,1,100n,C1525
C5,0402,1,100n,C1525
C6,0402,1,10u,C15525
C7,0402,1,10n,C15195
C8,0402,1,2.2u,C12530
C9,0402,1,100n,C1525
D1,D_SOD-323,1,1N5819WS,C191023
D2,0603,1,LED Blue,C72041
D3,0603,1,LED Red,C2286
FB1,0805,1,600Ω@100MHz,C1017
FB2,0805,1,600Ω@100MHz,C1017
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,TYPE-C-31-M-12,C165948
J10,JST_SUR_SM03B-SURS-TF_1x03-1MP_P0.80mm_Horizontal,1,Audio_Out_L,C2845344
J11,JST_SUR_SM02B-SURS-TF_1x02-1MP_P0.80mm_Horizontal,1,PowerIn, C2845343
J12,JST_SUR_SM02B-SURS-TF_1x02-1MP_P0.80mm_Horizontal,1,PowerOut, C2845343
J13,JST_SUR_SM02B-SURS-TF_1x02-1MP_P0.80mm_Horizontal,1,LED3, C2845343
J14,JST_SUR_SM02B-SURS-TF_1x02-1MP_P0.80mm_Horizontal,1,LED4, C2845343
J15,JST_SUR_SM02B-SURS-TF_1x02-1MP_P0.80mm_Horizontal,1,LED5, C2845343
J3,JST_SUR_SM02B-SURS-TF_1x02-1MP_P0.80mm_Horizontal,1,LED1, C2845343
J4,JST_SUR_SM02B-SURS-TF_1x02-1MP_P0.80mm_Horizontal,1,LED2, C2845343
J5,JST_SUR_SM02B-SURS-TF_1x02-1MP_P0.80mm_Horizontal,1,LED6, C2845343
J6,JST_SUR_SM03B-SURS-TF_1x03-1MP_P0.80mm_Horizontal,1,Sensor3,C2845344
J7,JST_SUR_SM03B-SURS-TF_1x03-1MP_P0.80mm_Horizontal,1,Sensor1,C2845344
J8,JST_SUR_SM03B-SURS-TF_1x03-1MP_P0.80mm_Horizontal,1,Sensor2,C2845344
J9,JST_SUR_SM03B-SURS-TF_1x03-1MP_P0.80mm_Horizontal,1,Audio_Out_R,C2845344
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,AO3400A, C20917
R1,0402,1,5k1,C25905
R10,0402,1,100k,C25741
R11,0402,1,100k,C25741
R12,0402,1,1k,C11702
R13,0402,1,1k,C11702
R14,0402,1,100k,C25741
R15,0402,1,100k,C25741
R16,0402,1,1k,C11702
R17,0402,1,1k,C11702
R18,0402,1,1k,C11702
R19,0402,1,100k,C25741
R2,0402,1,5k1,C25905
R20,0402,1,100k,C25741
R3,0402,1,1k,C11702
R4,0402,1,1k,C11702
R5,0402,1,1k,C11702
R6,0402,1,1k,C11702
R7,0402,1,1k,C11702
R8,0402,1,75R,C25905
R9,0402,1,75R,C25905
SW1,SW_SPST_TL3342,1,BUT0,C318884
TP1,TestPoint_Pad_1.0x1.0mm,1,SENS1,
TP10,TestPoint_Pad_1.0x1.0mm,1,SENS3,
TP11,TestPoint_Pad_1.0x1.0mm,1,LED1,
TP12,TestPoint_Pad_1.0x1.0mm,1,LED2,
TP13,TestPoint_Pad_1.0x1.0mm,1,LED6,
TP14,TestPoint_Pad_1.0x1.0mm,1,LO_R,
TP15,TestPoint_Pad_1.0x1.0mm,1,LO_L,
TP16,TestPoint_Pad_1.0x1.0mm,1,LED3,
TP17,TestPoint_Pad_1.0x1.0mm,1,LED4,
TP18,TestPoint_Pad_1.0x1.0mm,1,LED5,
TP19,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,3v3,
TP2,TestPoint_Pad_1.0x1.0mm,1,SENS2,
"TP20, TP9",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,2,GND,
TP3,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,SWCLK,
TP4,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,SWDIO,
TP5,TestPoint_Pad_1.0x1.0mm,1,UART_TX,
TP6,TestPoint_Pad_1.0x1.0mm,1,D-,
TP7,TestPoint_Pad_1.0x1.0mm,1,D+,
TP8,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,VBUS,
U1,SOT-666,1,USBLC6-2P6,C2827693
U2,SOIC-8_5.275x5.275mm_P1.27mm,1,W25Q128JVS,C97521
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U4,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6, C8734
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
